18622,Painkiller Jane: The 22 Brides (2014 - Present),2014,2099,
18636,PAINKILLER JANE: THE 22 BRIDES (2014 - Present),2014,2099,
18629,PAINKILLER JANE: THE 22 BRIDES  (2014 - Present),2014,2099,
18265,Painkiller Jane: The Price of Freedom (2013 - Present),2013,2099,Mature
20845,"Patsy Walker, A.K.A. Hellcat! (2015 - Present)",2015,2099,Rated T
5212,Patsy Walker: Hellcat (2008 - 2009),2008,2009,RATED A
4070,Penance: Relentless (2008),2008,2008,
2271,"Peter Parker, the Spectacular Spider-Man (1976 - 1998)",1976,1998,
2060,Peter Parker: Spider-Man (1999 - 2003),1999,2003,
19022,Pirate's Booty & The Avengers (2014),2014,2014,
19625,Planet Hulk (2015 - Present),2015,2099,Rated T
7461,Planet Skaar Prologue (2009),2009,2009,PARENTAL ADVISORY
15297,Point One (2011),2011,2011,
21345,Power Man and Iron Fist (2016 - Present),2016,2099,
12821,Power Man and Iron Fist (2010 - 2011),2010,2011,
21344,Power Man and Iron Fist (2016 - Present),2016,2099,
21122,Power Man and Iron Fist (2016 - Present),2016,2099,Rated T+
15186,Power Pack (1984),1984,1984,
864,Power Pack (2005),2005,2005,ALL AGES
9073,Powers (2009 - 2012),2009,2012,Explicit Content
19243,Powers (2015 - Present),2015,2099,Mature
20045,Powers Firsts (2015 - Present),2015,2099,
17533,Powers: Bureau (2013 - Present),2013,2099,Mature
16392,Powers: Bureau  (2012 - Present),2012,2099,
9309,Prelude to Deadpool Corps (2010),2010,2010,
7307,Presidents' Day Celebration (2009),2009,2009,
7431,Pride & Prejudice (2009),2009,2009,RATED T
19631,Princess Leia (2015 - Present),2015,2099,Rated T
9007,Psylocke (2009 - 2010),2009,2010,Rated T
5263,Punisher (1986),1986,1986,
436,Punisher (2001 - 2003),2001,2003,Marvel Psr
3698,Punisher (2000 - 2001),2000,2001,
6601,Punisher (2008 - 2010),2008,2010,Parental Advisory
698,Punisher (2004 - 2008),2004,2008,Parental Advisory/Explicit Content
9932,Punisher Max: Tiny Ugly World (2013 - 2010),2013,2010,
8201,Punisher Noir (2009 - 2010),2009,2010,
6871,Punisher Saga (2008),2008,2008,
1112,Punisher War Journal (2006 - 2009),2006,2009,Parental Advisory
6131,Punisher War Journal Annual (2008),2008,2008,Rated T+
10740,Punisher: In the Blood (2010 - 2011),2010,2011,
17535,Punisher: Nightmare (2013 - Present),2013,2099,Parental Advisory
18071,Punisher: The Trial of the Punisher (2013),2013,2013,Parental Advisory
16693,Punisher: War Zone (2012 - 2013),2012,2013,Parental Advisory
8991,Punishermax (2009 - 2011),2009,2011,
12550,Punishermax (2010 - 2012),2010,2012,
